t,Mem,Cpu,Comment
0,226.2,0.0,
100,226.2,0.0,
200,226.6,10.0,
300,226.6,0.0,
401,226.6,0.0,
501,226.6,0.0,
601,226.6,0.0,
701,226.6,0.0,
802,226.6,0.0,
902,226.6,10.0,
1002,226.6,0.0,
1102,226.6,0.0,
1203,226.6,0.0,
1303,226.6,0.0,
1403,226.6,10.0,
1504,226.6,0.0,
1604,226.6,0.0,
1704,226.6,10.0,
1804,226.6,0.0,
1905,226.6,0.0,
2005,227.2,0.0,
2105,227.2,0.0,
2205,227.2,0.0,
2305,227.5,0.0,
2406,227.5,10.0,
2506,227.7,0.0,
2606,227.7,0.0,
2706,228.0,0.0,
2807,228.0,0.0,
2907,228.2,0.0,
3007,228.2,10.0,
3107,228.2,0.0,
3208,228.5,0.0,
3308,228.5,10.0,
3408,228.5,0.0,
3508,228.8,0.0,
3609,229.2,0.0,
3709,229.2,0.0,
3809,229.2,0.0,
3909,229.4,10.0,
4010,229.4,0.0,
4110,229.7,0.0,
4210,229.7,0.0,
4310,229.7,0.0,
4411,230.0,10.0,
4511,230.0,0.0,
4611,230.2,10.0,
4711,230.2,0.0,
4812,230.2,0.0,
4912,230.5,0.0,
5012,230.5,0.0,
5112,230.5,0.0,
5213,230.7,0.0,
5313,230.7,10.0,
5413,231.0,0.0,
5513,231.0,0.0,
5614,231.0,0.0,
5714,231.2,0.0,
5814,231.2,0.0,
5914,231.2,0.0,
6014,231.5,10.0,
6115,231.5,0.0,
6215,231.5,0.0,
6315,231.8,10.0,
6415,231.8,0.0,
6516,231.8,0.0,
6616,232.0,10.0,
6716,232.0,0.0,
6816,232.3,0.0,
6916,232.3,0.0,
7017,232.3,0.0,
7117,232.5,0.0,
7217,232.5,0.0,
7317,232.5,10.0,
7418,232.8,0.0,
7518,232.8,0.0,
7618,232.8,0.0,
7718,233.0,0.0,
7819,233.0,0.0,
7919,233.0,0.0,
8019,233.3,10.0,
8119,233.3,10.0,
8220,233.3,0.0,
8320,233.3,0.0,
8420,233.6,0.0,
8520,233.6,0.0,
8621,233.6,10.0,
8721,233.8,0.0,
8821,233.8,0.0,
8921,233.8,0.0,
9022,234.1,0.0,
9122,234.1,0.0,
9222,234.1,0.0,
9322,234.3,10.0,
9423,234.3,0.0,
9523,234.3,0.0,
9623,234.6,0.0,
9723,234.6,0.0,
9823,234.9,0.0,
9924,234.9,10.0,
10024,234.9,10.0,
10124,235.1,0.0,
10224,235.1,0.0,tcpreplay finished
10325,235.1,0.0,
10426,235.1,0.0,
10526,235.1,0.0,
10626,235.1,0.0,
10727,235.1,0.0,
10827,235.1,0.0,
10927,235.1,0.0,
11028,235.1,0.0,
11128,235.1,0.0,
11228,235.1,0.0,
11329,235.1,0.0,zeek terminated
