t,Mem,Cpu,Comment
0,226.2,0.0,
100,226.2,0.0,
200,226.5,0.0,
301,226.5,0.0,
401,226.5,0.0,
501,226.5,0.0,
601,226.5,0.0,
701,226.5,0.0,
802,226.5,0.0,
902,226.5,0.0,
1002,226.5,10.0,
1102,226.5,10.0,
1203,226.5,0.0,
1303,226.5,0.0,
1403,226.5,0.0,
1503,226.5,0.0,
1603,226.5,0.0,
1704,226.5,0.0,
1804,226.5,10.0,
1904,226.5,0.0,
2004,227.2,0.0,
2104,227.2,0.0,
2205,227.2,0.0,
2305,227.5,0.0,
2405,227.5,10.0,
2505,227.8,0.0,
2605,227.8,0.0,
2706,228.0,0.0,
2806,228.0,0.0,
2906,228.3,0.0,
3006,228.3,10.0,
3106,228.3,10.0,
3207,228.5,0.0,
3307,228.5,0.0,
3407,228.5,0.0,
3507,228.8,0.0,
3607,228.8,0.0,
3708,229.2,0.0,
3808,229.2,0.0,
3908,229.5,10.0,
4008,229.5,0.0,
4108,229.7,0.0,
4208,229.7,0.0,
4309,229.7,0.0,
4409,230.0,0.0,
4509,230.0,0.0,
4609,230.2,10.0,
4710,230.2,0.0,
4810,230.2,0.0,
4910,230.5,0.0,
5010,230.5,10.0,
5110,230.5,0.0,
5211,230.8,0.0,
5311,230.8,10.0,
5411,231.0,0.0,
5511,231.0,0.0,
5611,231.0,0.0,
5712,231.3,0.0,
5812,231.3,0.0,
5912,231.3,0.0,
6012,231.5,10.0,
6112,231.5,0.0,
6213,231.5,0.0,
6313,231.8,0.0,
6413,231.8,0.0,
6513,231.8,0.0,
6613,232.0,10.0,
6714,232.0,0.0,
6814,232.3,0.0,
6914,232.3,0.0,
7014,232.3,0.0,
7114,232.6,0.0,
7215,232.6,10.0,
7315,232.6,10.0,
7415,232.8,0.0,
7515,232.8,0.0,
7615,232.8,0.0,
7716,233.1,0.0,
7816,233.1,0.0,
7916,233.1,10.0,
8016,233.3,0.0,
8116,233.3,0.0,
8217,233.3,0.0,
8317,233.3,0.0,
8417,233.6,0.0,
8517,233.6,0.0,
8617,233.6,10.0,
8718,233.9,0.0,
8818,233.9,0.0,
8918,233.9,0.0,
9018,233.9,0.0,
9118,234.1,10.0,
9219,234.1,0.0,
9319,234.4,10.0,
9419,234.4,0.0,
9519,234.4,0.0,
9620,234.6,0.0,
9720,234.6,0.0,
9820,234.9,0.0,
9920,234.9,0.0,
10020,234.9,10.0,
10121,235.1,0.0,
10221,235.1,0.0,tcpreplay finished
10322,235.1,0.0,
10422,235.1,0.0,
10522,235.1,0.0,
10623,235.1,0.0,
10723,235.1,0.0,
10823,235.1,0.0,
10924,235.1,0.0,
11024,235.1,0.0,
11125,235.1,0.0,
11225,235.1,0.0,
11325,235.1,0.0,zeek terminated
