t,Mem,Cpu,Comment
0,226.2,0.0,
100,226.2,0.0,
200,226.2,0.0,
301,226.2,0.0,
401,226.2,10.0,
501,226.2,0.0,
601,226.2,0.0,
702,226.2,10.0,
802,226.2,0.0,
902,226.2,0.0,
1002,226.2,0.0,
1102,227.0,0.0,
1203,227.0,10.0,
1303,227.0,0.0,
1403,227.0,0.0,
1504,227.0,0.0,
1604,227.0,0.0,
1704,227.0,10.0,
1804,227.0,0.0,
1905,227.0,0.0,
2005,227.0,0.0,
2105,227.2,0.0,
2205,227.2,10.0,
2305,227.5,0.0,
2406,227.5,0.0,
2506,227.5,0.0,
2606,227.7,0.0,
2706,227.7,20.0,
2807,228.0,0.0,
2907,228.0,0.0,
3007,228.0,0.0,
3107,228.3,10.0,
3208,228.3,0.0,
3308,228.5,0.0,
3408,228.5,0.0,
3508,228.8,0.0,
3608,228.8,10.0,
3709,229.2,0.0,
3809,229.2,0.0,
3909,229.2,0.0,
4009,229.4,0.0,
4110,229.4,10.0,
4210,229.7,0.0,
4310,229.7,0.0,
4410,229.7,0.0,
4511,230.0,10.0,
4611,230.0,0.0,
4711,230.2,0.0,
4812,230.2,10.0,
4912,230.2,0.0,
5012,230.5,10.0,
5112,230.5,0.0,
5213,230.5,0.0,
5313,230.7,0.0,
5413,230.7,0.0,
5513,231.0,10.0,
5613,231.0,0.0,
5714,231.0,0.0,
5814,231.3,0.0,
5914,231.3,0.0,
6014,231.3,10.0,
6114,231.5,0.0,
6215,231.5,0.0,
6315,231.5,0.0,
6415,231.8,0.0,
6515,231.8,0.0,
6616,231.8,10.0,
6716,232.0,0.0,
6816,232.0,0.0,
6916,232.3,0.0,
7016,232.3,0.0,
7117,232.3,20.0,
7217,232.5,0.0,
7317,232.5,0.0,
7417,232.5,0.0,
7518,232.8,0.0,
7618,232.8,0.0,
7718,232.8,10.0,
7818,233.1,0.0,
7919,233.1,0.0,
8019,233.1,0.0,
8119,233.3,0.0,
8219,233.3,0.0,
8319,233.3,0.0,
8420,233.3,10.0,
8520,233.6,0.0,
8620,233.6,0.0,
8720,233.6,0.0,
8820,233.8,0.0,
8921,233.8,0.0,
9021,233.8,10.0,
9121,234.1,0.0,
9221,234.1,0.0,
9321,234.1,0.0,
9422,234.3,0.0,
9522,234.3,0.0,
9622,234.3,10.0,
9722,234.6,0.0,
9822,234.6,0.0,
9923,234.6,10.0,
10023,234.9,0.0,
10123,234.9,0.0,
10224,234.9,0.0,tcpreplay finished
10324,234.9,0.0,
10425,234.9,0.0,
10525,234.9,0.0,
10626,234.9,0.0,
10726,234.9,0.0,
10826,234.9,0.0,
10927,234.9,0.0,
11027,234.9,0.0,
11127,234.9,0.0,
11228,234.9,0.0,
11328,234.9,0.0,zeek terminated
