t,Mem,Cpu,Comment
0,226.4,0.0,
100,226.4,0.0,
200,226.4,0.0,
301,226.4,10.0,
401,226.4,0.0,
501,226.4,0.0,
601,226.4,0.0,
701,226.4,0.0,
802,226.4,0.0,
902,226.4,0.0,
1002,226.4,0.0,
1102,227.2,10.0,
1203,227.2,0.0,
1303,227.2,0.0,
1403,227.2,0.0,
1503,227.2,0.0,
1603,227.2,0.0,
1704,227.2,10.0,
1804,227.2,0.0,
1904,227.2,0.0,
2004,227.2,0.0,
2104,227.4,0.0,
2205,227.4,0.0,
2305,227.7,20.0,
2405,227.7,0.0,
2505,227.7,0.0,
2605,227.9,0.0,
2706,227.9,0.0,
2806,228.2,0.0,
2906,228.2,10.0,
3006,228.4,0.0,
3106,228.4,0.0,
3207,228.4,0.0,
3307,228.7,0.0,
3407,228.7,0.0,
3507,229.0,10.0,
3607,229.0,0.0,
3708,229.4,0.0,
3808,229.4,0.0,
3908,229.4,0.0,
4008,229.6,10.0,
4108,229.6,0.0,
4209,229.9,0.0,
4309,229.9,0.0,
4409,230.1,0.0,
4509,230.1,0.0,
4609,230.1,10.0,
4709,230.4,0.0,
4810,230.4,0.0,
4910,230.4,0.0,
5010,230.7,0.0,
5110,230.7,20.0,
5210,230.7,0.0,
5311,230.9,0.0,
5411,230.9,0.0,
5511,231.2,0.0,
5611,231.2,0.0,
5711,231.2,0.0,
5812,231.4,0.0,
5912,231.4,10.0,
6012,231.4,0.0,
6112,231.7,0.0,
6212,231.7,0.0,
6313,231.7,10.0,
6413,231.9,10.0,
6513,231.9,0.0,
6613,232.2,0.0,
6713,232.2,0.0,
6814,232.2,0.0,
6914,232.5,0.0,
7014,232.5,10.0,
7114,232.5,0.0,
7214,232.7,0.0,
7315,232.7,0.0,
7415,232.7,0.0,
7515,233.0,10.0,
7615,233.0,0.0,
7715,233.0,0.0,
7816,233.2,0.0,
7916,233.2,0.0,
8016,233.2,0.0,
8116,233.5,10.0,
8216,233.5,0.0,
8317,233.5,0.0,
8417,233.5,0.0,
8517,233.8,0.0,
8617,233.8,10.0,
8717,233.8,10.0,
8818,234.0,0.0,
8918,234.0,0.0,
9018,234.0,0.0,
9118,234.3,0.0,
9219,234.3,10.0,
9319,234.3,0.0,
9419,234.5,0.0,
9519,234.5,0.0,
9619,234.8,0.0,
9720,234.8,0.0,
9820,234.8,10.0,
9920,235.0,0.0,
10020,235.0,0.0,
10120,235.0,0.0,
10221,235.0,0.0,tcpreplay finished
10321,235.0,0.0,
10422,235.0,0.0,
10522,235.0,0.0,
10623,235.0,0.0,
10723,235.0,0.0,
10824,235.0,0.0,
10924,235.0,0.0,
11025,235.0,0.0,
11125,235.0,0.0,
11225,235.0,0.0,
11326,235.0,0.0,zeek terminated
