t,Mem,Cpu,Comment
0,225.1,0.0,
100,225.1,0.0,
200,231.9,29.9,
301,250.0,119.7,
401,268.6,99.7,
501,286.1,119.7,
601,301.9,109.7,
702,318.1,89.8,
802,333.3,119.7,
902,347.2,99.8,
1003,361.4,109.7,
1103,375.1,109.7,
1203,387.7,109.7,
1303,400.4,109.7,
1404,413.8,99.7,
1504,425.6,109.7,
1604,438.1,109.7,
1704,450.3,109.7,
1805,461.9,109.7,
1905,473.2,99.7,
2005,483.8,109.7,
2106,496.1,99.8,
2206,507.5,109.7,
2306,518.8,109.7,
2406,531.0,99.7,
2507,542.4,119.6,
2607,554.2,99.7,
2707,564.3,99.7,
2807,575.4,119.8,
2908,585.9,109.7,
3008,597.6,99.7,
3108,608.6,109.7,
3208,620.9,99.7,
3309,631.8,109.7,
3409,643.4,109.7,
3509,653.9,109.7,
3610,664.8,99.7,
3710,674.3,109.7,
3810,685.1,99.7,
3910,694.9,109.7,
4011,706.0,109.7,
4111,716.8,109.7,
4211,727.4,99.7,
4311,737.7,119.7,
4412,747.8,89.8,
4512,757.1,119.7,
4612,767.1,99.7,
4713,776.9,109.7,
4813,787.2,109.7,
4913,797.5,109.7,
5013,808.4,99.7,
5114,818.2,109.7,
5214,823.1,99.7,
5314,823.1,129.6,
5415,823.1,119.6,
5515,823.1,109.7,
5615,823.1,119.6,
5716,823.1,129.6,
5816,823.1,109.7,
5916,823.1,119.6,
6016,823.1,109.7,
6117,823.1,119.6,
6217,823.1,119.6,
6317,823.1,129.6,
6418,823.1,119.6,
6518,823.1,119.6,
6618,823.1,119.6,
6719,823.7,119.6,
6819,825.8,109.7,
6919,828.3,119.6,
7019,830.9,109.7,
7120,835.6,119.7,
7220,837.4,119.7,
7320,838.2,119.7,
7420,841.5,119.6,
7521,843.1,119.5,
7621,844.9,109.6,
7722,847.7,109.7,
7822,849.8,119.7,
7922,852.6,109.7,
8022,854.7,129.6,
8123,857.0,109.7,
8223,858.3,109.7,
8323,859.3,129.6,
8423,861.6,129.7,
8524,865.5,99.7,
8624,868.9,119.7,
8724,874.5,109.7,
8825,879.7,109.7,
8925,884.8,119.7,
9025,890.5,119.7,
9125,897.0,99.7,
9226,901.6,119.7,
9326,905.2,119.7,
9426,912.4,99.7,
9527,916.8,119.6,
9627,921.4,109.7,
9727,925.8,119.7,
9827,930.5,119.7,
9928,935.1,109.7,
10028,938.5,119.7,
10128,944.1,119.7,
10228,948.8,109.6,tcpreplay finished
10329,953.7,109.6,
10429,962.2,109.7,
10529,969.7,109.7,
10630,977.6,109.7,
10730,984.9,109.7,
10830,992.9,109.7,
10930,999.3,119.7,
11031,1005.8,109.7,
11131,1014.3,109.7,
11231,1021.5,109.7,
11332,1027.7,129.6,zeek terminated
