t,Mem,Cpu,Comment
0,225.3,0.0,
100,225.3,0.0,
200,236.2,69.8,
301,254.9,109.7,
401,272.4,109.7,
501,288.1,109.7,
602,304.4,109.7,
702,320.1,99.7,
802,334.8,109.7,
902,348.7,109.7,
1003,362.9,99.7,
1103,375.8,119.6,
1203,388.2,99.7,
1304,401.1,109.7,
1404,413.2,109.7,
1504,424.8,99.7,
1605,437.1,109.7,
1705,449.2,99.7,
1805,460.6,109.7,
1905,472.7,109.7,
2006,483.8,109.7,
2106,495.4,99.7,
2206,505.9,119.6,
2306,517.0,99.7,
2407,527.9,109.7,
2507,539.3,109.7,
2607,550.1,99.7,
2708,560.9,109.7,
2808,572.0,99.7,
2908,582.9,119.6,
3008,594.2,99.7,
3109,604.8,109.7,
3209,615.9,109.7,
3309,627.7,109.7,
3410,638.6,99.7,
3510,650.2,99.7,
3610,659.9,109.7,
3711,671.0,109.7,
3811,681.3,109.7,
3911,692.4,99.7,
4011,702.5,109.7,
4112,713.1,99.7,
4212,723.9,119.6,
4312,734.2,109.7,
4413,744.3,99.7,
4513,754.6,99.7,
4613,763.8,119.6,
4714,774.2,99.7,
4814,783.7,109.7,
4914,794.5,99.7,
5015,804.6,109.7,
5115,814.4,99.7,
5215,817.3,119.7,
5315,817.3,109.7,
5416,817.3,109.7,
5516,817.3,129.5,
5616,817.3,109.7,
5717,817.3,119.6,
5817,817.3,109.7,
5917,817.3,119.7,
6018,817.3,109.7,
6118,817.3,119.7,
6218,817.3,109.7,
6318,817.3,109.7,
6419,817.3,109.7,
6519,817.8,129.6,
6619,819.0,109.7,
6720,820.5,109.7,
6820,822.1,109.7,
6920,824.7,129.7,
7020,826.7,109.7,
7121,829.1,119.7,
7221,833.7,99.7,
7321,836.3,119.7,
7422,839.2,109.7,
7522,841.7,119.7,
7622,844.3,99.7,
7722,846.9,119.6,
7823,849.1,119.7,
7923,850.6,99.7,
8023,850.6,129.6,
8123,850.9,109.7,
8224,851.6,109.7,
8324,854.7,119.7,
8424,859.4,109.7,
8525,863.0,119.7,
8625,867.9,119.6,
8725,872.5,89.8,
8825,876.6,119.7,
8926,882.6,109.7,
9026,888.0,109.7,
9126,892.9,109.7,
9227,897.3,119.7,
9327,903.7,109.7,
9427,908.3,119.7,
9527,912.2,109.7,
9628,915.8,109.6,
9728,919.4,99.7,
9828,922.5,119.7,
9929,926.9,109.7,
10029,930.5,129.6,
10129,935.7,109.7,
10229,942.4,99.7,tcpreplay finished
10330,949.6,119.5,
10430,956.8,99.7,
10531,964.3,109.7,
10631,971.8,109.7,
10731,977.4,119.7,
10831,984.9,99.7,
10932,990.6,109.7,
11032,998.6,119.7,
11132,1007.6,109.7,
11232,1015.6,99.8,
11333,1022.0,109.7,zeek terminated
