t,Mem,Cpu,Comment
0,225.4,0.0,
100,225.4,0.0,
200,243.7,99.7,
301,262.0,109.7,
401,280.0,109.7,
501,296.8,109.7,
601,313.3,109.7,
702,328.5,99.7,
802,342.9,109.7,
902,356.8,109.7,
1003,371.3,109.7,
1103,384.2,109.7,
1203,396.8,99.7,
1303,409.2,109.7,
1404,421.8,109.7,
1504,434.5,109.8,
1604,446.4,99.8,
1704,459.0,109.7,
1805,470.6,109.7,
1905,482.7,99.7,
2005,494.8,119.7,
2105,507.0,89.7,
2206,517.8,109.7,
2306,529.4,119.7,
2406,541.7,89.8,
2507,552.8,119.7,
2607,564.4,99.7,
2707,574.9,109.7,
2807,587.1,109.7,
2908,597.9,109.7,
3008,609.2,99.8,
3108,621.4,109.7,
3208,633.0,99.8,
3309,643.8,119.7,
3409,654.6,99.7,
3509,664.7,109.7,
3610,676.3,109.7,
3710,686.6,99.7,
3810,697.7,99.7,
3910,708.0,119.7,
4011,719.1,99.8,
4111,729.4,119.7,
4211,740.0,99.7,
4311,750.0,109.7,
4412,760.6,99.7,
4512,770.1,109.7,
4612,780.7,109.7,
4712,791.0,109.7,
4813,801.9,109.7,
4913,811.6,99.7,
5013,822.3,99.8,
5114,830.6,109.7,
5214,830.8,109.7,
5314,830.8,129.6,
5414,830.8,109.7,
5515,830.8,119.7,
5615,830.8,109.7,
5715,830.8,109.7,
5815,830.8,119.7,
5916,830.8,119.7,
6016,831.1,119.7,
6116,831.6,109.7,
6217,832.9,109.7,
6317,833.9,129.6,
6417,836.4,109.7,
6517,838.7,119.7,
6618,841.0,109.7,
6718,843.4,109.8,
6818,849.1,109.7,
6918,851.3,109.7,
7019,853.4,119.6,
7119,855.9,119.7,
7219,857.7,109.7,
7320,859.5,129.6,
7420,862.9,109.7,
7520,866.5,109.7,
7620,869.9,109.7,
7721,872.7,109.7,
7821,875.5,119.7,
7921,878.4,109.7,
8021,880.9,109.7,
8122,883.3,109.7,
8222,885.6,119.6,
8322,887.1,119.7,
8422,889.2,109.7,
8523,894.9,99.7,
8623,899.8,119.7,
8723,905.4,119.7,
8824,912.7,99.8,
8924,917.0,119.7,
9024,922.2,119.7,
9124,928.6,89.8,
9225,933.0,119.7,
9325,937.1,119.7,
9425,943.6,99.8,
9525,948.0,119.7,
9626,951.6,109.7,
9726,956.0,119.7,
9826,961.9,99.8,
9926,965.2,119.7,
10027,969.9,109.7,
10127,975.0,109.7,
10227,983.6,109.6,tcpreplay finished
10328,989.5,119.5,
10428,998.0,99.7,
10528,1005.0,119.7,
10629,1012.4,109.7,
10729,1018.9,109.7,
10829,1025.1,109.7,
10929,1033.3,109.7,
11030,1040.8,109.7,
11130,1049.0,109.7,
11230,1055.0,99.7,
11330,1062.4,119.6,zeek terminated
