t,Mem,Cpu,Comment
0,225.2,0.0,
100,225.2,0.0,
201,234.6,49.9,
301,252.6,109.7,
401,270.1,109.7,
502,286.8,109.7,
602,301.5,109.7,
702,316.5,119.6,
803,331.7,99.7,
903,345.4,109.7,
1003,358.8,109.7,
1103,372.2,99.7,
1204,384.3,109.7,
1304,396.9,119.6,
1404,408.0,109.6,
1505,419.9,109.7,
1605,431.9,119.6,
1705,444.0,99.7,
1806,455.1,119.6,
1906,467.2,99.7,
2006,478.0,119.6,
2107,490.4,99.7,
2207,501.2,119.6,
2307,512.0,99.6,
2408,523.1,119.6,
2508,534.5,109.7,
2608,546.1,119.6,
2709,556.2,99.7,
2809,566.5,109.7,
2909,577.1,109.7,
3009,587.9,109.7,
3110,599.2,109.7,
3210,609.8,109.7,
3310,621.9,109.7,
3410,631.9,109.7,
3511,643.0,109.7,
3611,653.6,109.7,
3711,663.6,109.6,
3812,674.2,109.7,
3912,684.0,109.7,
4012,694.6,109.6,
4113,704.4,109.7,
4213,714.7,99.7,
4313,724.7,109.7,
4413,734.5,109.7,
4514,744.6,109.6,
4614,753.9,109.7,
4714,763.7,99.7,
4815,773.5,109.7,
4915,783.0,109.7,
5015,793.3,99.7,
5116,801.6,109.5,
5216,804.4,109.6,
5316,804.4,119.6,
5417,804.4,119.6,
5517,804.4,119.6,
5617,804.4,129.6,
5718,804.4,109.7,
5818,804.4,119.7,
5918,804.4,109.7,
6018,804.4,119.7,
6119,804.4,109.7,
6219,804.4,119.7,
6319,804.4,109.7,
6420,804.4,109.7,
6520,804.4,119.7,
6620,804.4,109.7,
6720,804.4,129.7,
6821,804.4,109.7,
6921,806.6,109.7,
7021,808.4,119.6,
7122,810.0,109.7,
7222,811.5,109.7,
7322,813.3,119.7,
7422,815.9,109.6,
7523,821.2,109.7,
7623,823.6,119.6,
7723,825.7,109.7,
7824,827.5,119.7,
7924,829.6,99.7,
8024,831.9,119.6,
8124,834.0,119.7,
8225,835.8,109.7,
8325,841.4,109.7,
8425,846.1,109.7,
8525,850.4,109.7,
8626,855.8,119.7,
8726,861.5,109.7,
8826,866.4,109.7,
8927,872.5,109.7,
9027,878.2,119.7,
9127,884.1,109.7,
9227,889.3,99.7,
9328,895.7,109.7,
9428,901.2,109.7,
9528,906.1,119.7,
9628,911.0,119.7,
9729,916.6,99.8,
9829,921.0,109.7,
9929,925.1,119.7,
10030,929.5,119.7,
10130,936.0,99.7,
10230,943.4,109.7,tcpreplay finished
10331,951.9,109.6,
10431,958.9,119.7,
10531,967.7,99.7,
10631,976.2,109.7,
10732,983.9,119.7,
10832,991.6,99.7,
10932,998.4,109.7,
11033,1005.6,119.7,
11133,1012.5,99.7,
11233,1019.5,109.7,
11333,1027.7,109.6,zeek terminated
