t,Mem,Cpu,Comment
0,225.2,0.0,
100,225.2,0.0,
201,242.1,99.8,
301,259.9,109.7,
401,277.7,109.7,
501,294.0,99.7,
602,309.4,109.7,
702,324.9,109.7,
802,339.1,109.7,
902,353.5,99.8,
1003,366.7,119.7,
1103,379.8,99.7,
1203,392.2,109.8,
1303,404.1,109.7,
1404,416.9,109.7,
1504,429.1,99.8,
1604,441.2,109.7,
1704,452.8,99.7,
1805,464.9,109.7,
1905,476.0,109.7,
2005,488.1,109.7,
2106,499.5,99.7,
2206,510.6,119.7,
2306,521.6,99.7,
2406,533.2,99.7,
2507,544.5,109.7,
2607,555.9,119.7,
2707,566.9,99.7,
2808,577.8,109.7,
2908,589.1,99.7,
3008,599.9,109.7,
3108,610.8,109.7,
3209,622.7,109.7,
3309,633.5,109.7,
3409,644.8,89.8,
3509,655.1,109.7,
3610,666.0,109.7,
3710,676.5,109.7,
3810,687.4,99.7,
3911,697.7,109.7,
4011,708.3,109.7,
4111,719.1,109.7,
4211,729.4,109.7,
4312,739.2,99.7,
4412,749.8,109.7,
4512,759.3,109.7,
4613,769.4,99.7,
4713,779.2,109.7,
4813,789.5,109.7,
4913,799.5,109.7,
5014,809.8,99.7,
5114,819.1,109.7,
5214,819.1,109.7,
5315,819.1,119.7,
5415,819.1,109.7,
5515,819.1,119.7,
5615,819.1,119.7,
5716,819.1,109.7,
5816,819.1,109.7,
5916,819.1,119.7,
6017,819.1,109.7,
6117,819.1,119.7,
6217,819.7,109.7,
6317,820.7,129.6,
6418,823.3,109.7,
6518,825.8,119.7,
6618,827.9,109.7,
6719,831.0,109.7,
6819,833.6,109.7,
6919,836.4,119.7,
7019,841.7,109.7,
7120,843.5,99.7,
7220,845.8,119.7,
7320,847.1,139.6,
7421,850.0,109.7,
7521,853.1,109.7,
7621,856.4,99.7,
7721,859.5,109.7,
7822,862.1,119.7,
7922,864.7,109.7,
8022,867.0,119.7,
8123,868.8,109.7,
8223,870.3,119.7,
8323,873.4,119.7,
8423,879.1,109.7,
8524,883.2,119.7,
8624,888.1,109.7,
8724,894.6,99.7,
8824,900.0,109.7,
8925,905.4,119.7,
9025,910.8,99.7,
9125,915.4,119.7,
9226,919.3,109.7,
9326,924.2,109.7,
9426,930.1,109.7,
9526,935.0,109.7,
9627,938.9,119.7,
9727,943.3,109.7,
9827,947.9,109.7,
9928,953.1,109.7,
10028,956.9,119.7,
10128,962.9,119.7,
10228,968.6,99.7,tcpreplay finished
10329,975.5,119.5,
10429,983.8,99.7,
10529,991.0,119.7,
10630,997.4,99.8,
10730,1003.6,109.7,
10830,1010.6,109.7,
10930,1017.0,109.7,
11031,1023.5,119.7,
11131,1031.2,109.7,
11231,1037.6,109.7,
11332,1044.1,109.6,zeek terminated
