t,Mem,Cpu,Comment
0,225.0,0.0,
100,225.0,0.0,
200,238.6,69.8,
301,257.5,109.7,
401,276.1,109.7,
501,293.4,109.7,
601,309.9,109.7,
702,326.4,109.7,
802,341.8,99.7,
902,356.3,109.7,
1003,370.4,109.7,
1103,384.6,99.7,
1203,397.8,109.7,
1303,410.7,109.7,
1404,423.6,119.7,
1504,436.5,89.7,
1604,448.9,119.7,
1705,461.7,99.7,
1805,473.6,119.7,
1905,485.5,99.7,
2005,498.4,99.7,
2106,509.7,119.7,
2206,522.3,99.7,
2306,533.7,109.7,
2406,546.4,99.7,
2507,557.7,109.7,
2607,569.3,99.7,
2707,581.2,109.7,
2808,592.8,119.7,
2908,604.1,99.8,
3008,615.5,109.7,
3108,628.2,109.7,
3209,639.3,99.7,
3309,650.9,109.7,
3409,662.3,109.7,
3510,673.4,99.7,
3610,685.0,109.7,
3710,695.8,109.7,
3810,706.6,109.7,
3911,718.0,99.7,
4011,728.8,109.7,
4111,739.4,99.7,
4211,749.2,109.7,
4312,759.2,109.8,
4412,769.5,109.7,
4512,779.6,109.7,
4612,790.9,109.7,
4713,801.2,99.7,
4813,811.8,109.6,
4913,822.0,99.7,
5014,832.6,109.7,
5114,842.9,109.7,
5214,844.4,119.7,
5314,844.4,109.7,
5415,844.4,109.7,
5515,844.4,109.6,
5615,844.4,109.7,
5716,844.4,119.7,
5816,844.4,119.7,
5916,844.4,119.6,
6017,845.2,109.7,
6117,846.0,109.7,
6217,846.9,119.7,
6317,847.7,129.7,
6418,849.7,109.7,
6518,852.0,109.7,
6618,856.4,119.7,
6718,859.5,109.7,
6819,861.3,109.7,
6919,863.9,109.7,
7019,866.2,119.7,
7119,869.1,109.7,
7220,871.1,109.7,
7320,872.7,129.7,
7420,876.3,109.7,
7520,880.2,109.7,
7621,883.8,109.7,
7721,886.9,109.7,
7821,889.4,119.7,
7922,892.5,109.7,
8022,895.9,109.7,
8122,899.0,119.7,
8222,900.8,109.7,
8323,902.3,129.7,
8423,903.1,119.7,
8523,904.4,109.7,
8623,904.9,109.7,
8724,910.3,119.8,
8824,915.0,109.7,
8924,920.4,109.7,
9024,926.3,119.7,
9125,932.2,99.7,
9225,937.1,119.7,
9325,941.5,119.6,
9426,947.7,99.8,
9526,951.6,119.7,
9626,955.9,99.7,
9726,960.6,119.7,
9827,965.7,109.7,
9927,970.4,119.7,
10027,974.3,109.7,
10127,978.1,109.7,
10228,985.3,109.8,tcpreplay finished
10328,990.5,119.5,
10428,998.0,99.7,
10529,1004.4,119.7,
10629,1010.6,99.7,
10729,1016.3,119.7,
10829,1022.2,109.7,
10930,1029.4,99.7,
11030,1034.6,129.6,
11130,1042.3,109.7,
11231,1048.5,99.7,
11331,1054.7,119.6,zeek terminated
