t,Mem,Cpu,Comment
0,225.4,0.0,
100,225.4,0.0,
200,234.3,79.8,
301,252.2,109.7,
401,270.2,109.7,
501,286.5,109.7,
602,301.7,109.7,
702,317.2,109.7,
802,332.6,99.7,
902,346.3,109.7,
1003,359.7,109.7,
1103,373.1,99.7,
1203,385.2,109.7,
1304,398.1,109.7,
1404,410.0,109.7,
1504,421.8,109.7,
1604,434.2,99.7,
1705,445.5,109.7,
1805,457.4,109.7,
1905,468.7,99.7,
2005,480.3,109.7,
2106,491.7,99.7,
2206,503.5,109.7,
2306,513.8,119.7,
2407,525.2,99.7,
2507,536.8,109.7,
2607,547.5,109.7,
2707,558.9,89.7,
2808,568.9,109.7,
2908,580.8,119.7,
3008,591.4,99.7,
3109,602.2,99.7,
3209,613.0,109.7,
3309,624.5,109.7,
3409,635.6,99.7,
3510,646.7,109.7,
3610,656.5,119.7,
3710,667.6,99.7,
3811,677.7,109.7,
3911,688.5,89.7,
4011,698.3,109.7,
4111,709.1,109.7,
4212,719.4,109.7,
4312,729.2,119.7,
4412,739.3,89.7,
4513,749.8,109.7,
4613,759.1,109.7,
4713,769.2,99.7,
4813,778.5,109.7,
4914,788.8,109.7,
5014,798.6,99.7,
5114,808.9,109.7,
5214,809.4,109.7,
5315,809.4,129.6,
5415,809.4,109.7,
5515,809.4,109.7,
5616,809.4,119.7,
5716,809.4,109.7,
5816,809.4,109.7,
5916,809.4,119.7,
6017,809.4,109.7,
6117,809.4,119.7,
6217,809.4,109.7,
6318,810.2,129.6,
6418,812.2,109.7,
6518,814.7,109.7,
6618,816.0,109.7,
6719,818.6,119.7,
6819,820.6,109.7,
6919,823.2,109.7,
7019,826.0,109.7,
7120,828.4,119.7,
7220,832.9,109.7,
7320,835.2,119.7,
7421,838.3,109.7,
7521,840.6,109.7,
7621,843.2,109.7,
7721,845.8,109.7,
7822,848.4,109.7,
7922,850.5,119.7,
8022,852.8,109.7,
8123,854.9,109.7,
8223,857.7,119.7,
8323,863.1,109.7,
8423,868.0,109.7,
8524,871.9,119.7,
8624,876.0,109.7,
8724,882.2,109.7,
8825,887.3,109.7,
8925,893.3,109.7,
9025,899.5,109.7,
9125,903.8,119.7,
9226,908.7,109.7,
9326,913.6,109.7,
9426,919.1,99.8,
9527,923.4,119.7,
9627,927.8,109.7,
9727,932.7,109.7,
9827,936.3,109.7,
9928,940.4,109.7,
10028,944.8,119.6,
10128,950.0,119.7,
10228,957.5,99.7,tcpreplay finished
10329,963.9,109.6,
10429,972.2,109.7,
10529,979.4,109.7,
10630,986.6,109.7,
10730,992.3,109.7,
10830,1000.0,109.7,
10930,1006.7,109.7,
11031,1013.2,109.7,
11131,1021.4,109.7,
11231,1028.4,109.7,
11332,1035.1,109.6,zeek terminated
