t,Mem,Cpu,Comment
0,225.1,0.0,
100,225.1,0.0,
201,241.3,89.7,
301,261.7,109.7,
401,280.8,109.7,
501,298.0,109.7,
602,315.0,119.7,
702,331.8,99.7,
802,347.0,109.7,
902,362.0,99.7,
1003,376.1,109.7,
1103,390.3,119.7,
1203,404.0,99.7,
1304,417.4,99.7,
1404,430.6,119.6,
1504,443.2,109.7,
1604,456.7,89.8,
1705,469.3,119.7,
1805,481.4,99.7,
1905,495.1,109.7,
2005,506.9,99.7,
2106,518.8,119.7,
2206,531.7,99.7,
2306,544.2,109.7,
2407,556.1,109.7,
2507,568.2,99.7,
2607,580.6,119.7,
2707,591.9,99.8,
2808,604.6,99.7,
2908,617.4,119.7,
3008,629.6,99.8,
3108,640.9,99.7,
3209,652.5,109.7,
3309,664.4,109.7,
3409,676.0,109.7,
3510,687.6,109.7,
3610,699.2,99.7,
3710,710.0,109.7,
3810,721.9,109.7,
3911,732.9,99.7,
4011,744.3,119.7,
4111,755.4,99.7,
4211,765.7,109.7,
4312,777.0,99.7,
4412,787.6,109.7,
4512,799.2,99.7,
4613,810.0,109.7,
4713,820.4,119.7,
4813,832.0,89.7,
4913,842.3,119.7,
5014,852.8,99.7,
5114,862.8,99.7,
5214,863.1,109.7,
5315,863.1,119.7,
5415,863.1,119.7,
5515,863.1,119.7,
5615,863.1,119.7,
5716,863.3,109.7,
5816,865.1,109.7,
5916,866.7,109.7,
6016,868.4,119.7,
6117,869.9,109.7,
6217,870.7,119.7,
6317,874.0,109.7,
6418,875.6,119.7,
6518,877.9,99.8,
6618,879.7,119.7,
6718,882.5,119.7,
6819,885.4,109.7,
6919,889.5,109.7,
7019,892.3,119.7,
7119,895.2,109.7,
7220,897.2,109.6,
7320,899.8,119.7,
7420,903.4,109.7,
7521,907.0,109.6,
7621,910.6,119.7,
7721,913.7,109.7,
7822,917.9,109.7,
7922,921.7,109.7,
8022,924.1,109.7,
8122,927.4,109.7,
8223,930.0,119.7,
8323,932.8,119.7,
8423,936.2,109.7,
8523,939.3,109.7,
8624,942.1,119.7,
8724,944.7,119.7,
8824,948.3,99.7,
8925,952.2,119.7,
9025,959.1,109.7,
9125,964.0,109.7,
9225,968.1,119.7,
9326,972.8,109.7,
9426,977.7,109.7,
9526,982.8,109.7,
9626,986.4,119.7,
9727,991.3,99.7,
9827,995.7,119.8,
9927,1001.4,109.7,
10027,1005.5,109.7,
10128,1010.2,119.7,
10228,1016.3,99.7,tcpreplay finished
10328,1023.6,119.5,
10429,1030.5,109.7,
10529,1037.0,109.7,
10629,1043.7,109.7,
10729,1050.4,109.7,
10830,1056.3,109.7,
10930,1063.8,109.7,
11030,1069.7,109.7,
11131,1075.6,109.7,
11231,1083.9,119.7,
11331,1089.8,109.7,zeek terminated
