t,Mem,Cpu,Comment
0,225.1,0.0,
100,225.1,10.0,
200,236.9,99.7,
301,251.7,109.7,
401,269.7,109.7,
501,286.2,109.7,
601,302.5,109.7,
702,318.4,99.7,
802,333.4,109.7,
902,347.1,99.7,
1003,361.5,119.7,
1103,374.6,99.7,
1203,387.3,109.7,
1303,399.6,109.7,
1404,412.8,99.7,
1504,424.4,109.7,
1604,436.5,109.7,
1705,448.9,99.7,
1805,460.2,119.7,
1905,472.4,109.7,
2005,483.4,99.7,
2106,495.8,109.7,
2206,506.6,109.7,
2306,517.7,99.7,
2406,529.6,99.7,
2507,540.8,119.7,
2607,552.2,99.8,
2707,562.7,109.7,
2807,574.1,109.7,
2908,584.9,109.7,
3008,596.5,99.8,
3108,606.8,109.7,
3209,619.3,99.7,
3309,629.9,109.7,
3409,641.0,109.7,
3509,651.8,99.7,
3610,662.4,109.7,
3710,672.7,109.7,
3810,683.8,99.7,
3910,693.8,109.7,
4011,704.7,109.7,
4111,714.4,109.7,
4211,725.3,99.7,
4312,735.6,99.7,
4412,745.9,109.7,
4512,755.7,109.7,
4612,765.8,109.7,
4713,775.0,109.7,
4813,785.3,99.7,
4913,795.4,109.7,
5013,805.7,99.7,
5114,813.7,119.6,
5214,813.7,99.7,
5314,813.7,129.6,
5415,813.7,109.7,
5515,813.7,109.7,
5615,813.7,119.7,
5715,813.7,109.7,
5816,813.7,119.7,
5916,813.7,129.6,
6016,813.7,109.7,
6117,813.7,119.7,
6217,813.7,109.7,
6317,814.5,139.7,
6417,817.3,109.7,
6518,820.0,119.7,
6618,822.3,109.7,
6718,825.4,109.7,
6818,828.8,119.7,
6919,832.4,119.6,
7019,834.7,119.7,
7119,839.3,109.7,
7220,841.4,129.6,
7320,843.7,109.7,
7420,846.8,109.7,
7520,850.2,119.7,
7621,854.1,109.7,
7721,857.2,109.7,
7821,860.0,109.7,
7921,862.3,119.7,
8022,864.7,109.7,
8122,866.7,129.6,
8222,870.3,109.7,
8323,875.2,119.7,
8423,881.4,99.8,
8523,885.8,109.7,
8623,890.7,119.7,
8724,897.7,119.7,
8824,903.3,119.7,
8924,908.0,109.7,
9025,914.7,109.7,
9125,920.6,99.7,
9225,925.3,119.7,
9325,929.6,119.7,
9426,936.1,109.7,
9526,941.2,109.7,
9626,945.6,109.7,
9726,950.3,119.7,
9827,955.7,119.6,
9927,959.8,109.7,
10027,964.2,109.7,
10128,968.8,119.6,
10228,976.8,99.7,tcpreplay finished
10328,982.7,119.5,
10429,991.3,109.7,
10529,996.7,119.7,
10629,1003.9,99.7,
10729,1009.8,109.7,
10830,1017.6,119.7,
10930,1024.5,99.7,
11030,1031.0,119.7,
11131,1038.9,109.7,
11231,1045.4,99.7,
11331,1052.1,119.6,zeek terminated
