t,Mem,Cpu,Comment
0,225.4,0.0,
100,225.4,0.0,
200,240.5,89.8,
301,258.4,99.7,
401,276.7,109.7,
501,293.2,99.7,
601,308.6,119.6,
702,324.4,109.7,
802,338.8,109.7,
902,353.5,99.7,
1003,367.2,109.7,
1103,379.8,109.7,
1203,393.5,99.7,
1303,405.3,109.7,
1404,418.2,109.7,
1504,431.0,109.8,
1604,443.3,109.7,
1704,455.2,109.7,
1805,467.0,109.7,
1905,478.6,99.7,
2005,490.8,109.7,
2106,502.9,99.7,
2206,514.0,109.7,
2306,525.3,109.7,
2406,537.4,109.7,
2507,548.9,99.7,
2607,560.5,109.7,
2707,571.9,109.7,
2807,582.9,99.7,
2908,594.0,119.7,
3008,605.4,109.7,
3108,617.7,99.7,
3209,629.0,109.7,
3309,639.6,109.7,
3409,651.2,99.7,
3509,661.5,109.7,
3610,672.8,99.7,
3710,683.2,109.7,
3810,694.2,109.7,
3910,704.6,99.7,
4011,715.6,109.7,
4111,726.0,109.7,
4211,736.8,99.8,
4312,746.8,109.7,
4412,757.4,109.7,
4512,766.9,109.7,
4612,777.3,109.7,
4713,787.1,109.7,
4813,797.9,99.7,
4913,807.7,109.7,
5014,818.2,109.7,
5114,828.2,109.7,
5214,828.2,99.7,
5314,828.2,119.7,
5415,828.2,109.7,
5515,828.2,109.7,
5615,828.2,119.7,
5715,828.2,109.7,
5816,828.2,119.7,
5916,828.2,119.7,
6016,828.2,109.6,
6117,828.5,119.7,
6217,829.3,119.7,
6317,830.3,119.7,
6417,832.8,109.7,
6518,835.3,109.7,
6618,837.7,119.7,
6718,840.2,109.7,
6819,842.6,109.7,
6919,848.1,109.7,
7019,850.1,109.7,
7119,852.1,119.7,
7220,854.2,109.7,
7320,856.0,129.7,
7420,859.3,109.7,
7520,862.7,109.7,
7621,865.8,109.7,
7721,868.6,119.6,
7821,871.7,99.7,
7922,874.3,119.7,
8022,876.6,119.7,
8122,879.5,99.7,
8222,881.0,119.7,
8323,883.1,119.7,
8423,885.9,119.7,
8523,890.8,99.7,
8624,895.2,109.7,
8724,900.6,119.7,
8824,907.0,99.7,
8924,912.2,119.7,
9025,916.8,119.7,
9125,922.8,99.7,
9225,926.9,119.6,
9326,931.0,109.7,
9426,937.5,109.7,
9526,942.1,119.7,
9627,945.5,109.7,
9727,950.4,109.7,
9827,956.3,99.7,
9927,961.2,129.6,
10028,965.1,109.7,
10128,970.2,109.8,
10228,976.4,109.7,tcpreplay finished
10328,982.8,109.6,
10429,990.6,109.7,
10529,997.0,109.7,
10629,1004.0,109.7,
10730,1009.7,109.7,
10830,1016.4,119.7,
10930,1023.8,99.7,
11030,1029.5,109.7,
11131,1037.5,109.7,
11231,1043.9,109.7,
11331,1050.1,119.5,zeek terminated
