t,Mem,Cpu,Comment
0,225.3,0.0,
100,225.3,0.0,
200,242.8,99.7,
301,261.9,99.8,
401,279.6,109.7,
501,295.9,109.6,
602,312.4,109.7,
702,328.1,109.7,
802,343.1,109.7,
902,358.3,109.7,
1003,371.7,99.8,
1103,384.3,109.7,
1203,397.0,99.7,
1304,409.1,119.6,
1404,420.7,109.7,
1504,433.9,99.8,
1604,446.0,109.7,
1705,457.8,99.7,
1805,470.2,109.7,
1905,481.6,119.7,
2005,494.2,89.8,
2106,505.8,109.7,
2206,517.7,109.7,
2306,529.3,109.7,
2407,540.7,109.7,
2507,552.3,99.8,
2607,563.1,109.7,
2707,574.7,99.7,
2808,586.1,109.7,
2908,597.9,109.7,
3008,608.5,109.7,
3108,621.2,99.7,
3209,632.1,109.7,
3309,643.7,99.7,
3409,654.5,119.6,
3510,665.6,99.7,
3610,676.4,109.7,
3710,688.0,109.7,
3810,697.5,99.7,
3911,708.4,109.7,
4011,718.2,109.7,
4111,729.5,99.8,
4211,739.6,109.7,
4312,750.4,109.7,
4412,760.2,109.7,
4512,770.8,99.7,
4613,780.8,109.7,
4713,791.9,109.7,
4813,802.2,99.7,
4913,812.8,109.7,
5014,822.8,99.8,
5114,831.8,109.7,
5214,832.1,119.7,
5314,832.1,109.7,
5415,832.1,109.7,
5515,832.1,119.7,
5615,832.1,109.7,
5716,832.1,129.6,
5816,832.1,109.7,
5916,832.1,119.7,
6016,832.4,109.7,
6117,833.6,109.7,
6217,834.7,119.7,
6317,835.7,109.7,
6417,838.0,109.7,
6518,840.9,109.7,
6618,842.9,129.6,
6718,846.4,109.7,
6819,851.3,99.7,
6919,854.1,119.7,
7019,856.4,109.7,
7119,859.2,119.7,
7220,861.6,109.7,
7320,864.1,119.7,
7420,867.0,109.7,
7521,870.3,109.7,
7621,874.2,109.7,
7721,877.3,129.6,
7821,880.1,109.7,
7922,882.7,109.7,
8022,884.8,99.7,
8122,885.8,119.7,
8222,887.1,109.7,
8323,887.9,119.7,
8423,890.4,109.7,
8523,894.8,119.7,
8624,901.3,109.7,
8724,906.2,109.7,
8824,911.8,119.6,
8924,917.8,99.7,
9025,923.2,119.7,
9125,928.1,109.7,
9225,933.8,119.7,
9326,937.6,109.7,
9426,943.8,109.7,
9526,948.7,109.7,
9626,951.8,109.6,
9727,955.9,119.7,
9827,960.8,109.7,
9927,966.0,99.7,
10028,970.6,109.7,
10128,974.7,119.7,
10228,981.2,109.7,tcpreplay finished
10328,986.1,119.5,
10429,993.6,99.8,
10529,998.7,119.7,
10629,1004.4,109.6,
10730,1011.1,99.8,
10830,1016.5,119.7,
10930,1023.7,109.7,
11030,1028.9,119.6,
11131,1035.3,109.7,
11231,1041.0,109.7,
11331,1045.9,99.7,zeek terminated
