t,Mem,Cpu,Comment
0,225.1,0.0,
100,225.9,10.0,
200,244.1,109.7,
301,262.2,109.7,
401,279.2,109.7,
501,294.9,109.7,
601,311.2,99.7,
702,326.1,109.7,
802,340.3,109.7,
902,354.2,109.7,
1003,367.6,99.7,
1103,380.0,119.7,
1203,392.9,99.7,
1303,404.5,109.7,
1404,416.4,99.7,
1504,429.3,109.7,
1604,440.4,109.7,
1705,452.5,99.7,
1805,463.6,119.7,
1905,475.2,99.7,
2005,485.5,109.7,
2106,496.6,109.7,
2206,507.4,99.7,
2306,518.2,109.7,
2407,529.3,109.7,
2507,540.8,99.8,
2607,550.8,109.7,
2707,560.1,109.7,
2808,569.9,109.7,
2908,579.2,89.8,
3008,589.3,109.7,
3108,599.3,109.7,
3209,609.9,99.7,
3309,621.5,109.7,
3409,632.1,109.7,
3510,642.9,99.7,
3610,654.0,109.7,
3710,663.8,109.7,
3810,674.6,99.8,
3911,684.7,109.7,
4011,695.5,109.7,
4111,705.3,109.7,
4211,715.6,99.7,
4312,725.4,109.7,
4412,735.5,109.7,
4512,745.8,99.7,
4613,755.8,109.7,
4713,765.1,109.7,
4813,775.2,99.7,
4913,784.5,109.7,
5014,794.5,99.7,
5114,802.0,109.7,
5214,802.0,109.7,
5315,802.0,119.7,
5415,802.0,109.7,
5515,802.0,129.6,
5615,802.0,109.7,
5716,802.0,119.7,
5816,802.0,109.7,
5916,802.0,119.7,
6017,802.0,119.7,
6117,802.0,119.7,
6217,802.0,99.7,
6317,802.8,119.7,
6418,804.3,109.7,
6518,806.4,119.7,
6618,808.9,109.7,
6718,810.7,119.7,
6819,813.0,99.7,
6919,815.8,129.6,
7019,817.6,109.7,
7120,820.1,109.7,
7220,821.2,119.6,
7320,827.0,109.7,
7420,829.8,109.7,
7521,832.4,109.7,
7621,835.2,119.7,
7721,837.8,109.7,
7822,839.9,119.7,
7922,842.2,109.7,
8022,844.3,109.7,
8122,847.4,119.7,
8223,853.8,99.7,
8323,858.2,109.7,
8423,863.6,119.7,
8524,867.5,109.7,
8624,873.1,109.7,
8724,877.8,119.7,
8824,882.9,109.7,
8925,889.6,99.7,
9025,895.0,119.7,
9125,900.2,109.7,
9226,905.9,109.7,
9326,910.5,109.7,
9426,915.2,119.7,
9526,919.3,109.7,
9627,924.4,109.7,
9727,928.8,109.8,
9827,932.2,119.7,
9927,936.8,99.7,
10028,942.0,119.7,
10128,947.9,109.7,tcpreplay finished
10229,954.6,99.6,
10329,962.6,119.7,
10429,969.3,109.7,
10529,977.8,109.6,
10630,984.8,109.7,
10730,990.4,109.7,
10830,997.9,99.8,
10930,1004.4,119.7,
11031,1012.3,109.7,
11131,1019.3,99.7,
11231,1026.3,129.6,zeek terminated
