t,Mem,Cpu,Comment
0,225.0,0.0,
100,225.0,0.0,
200,241.9,89.7,
301,260.3,119.7,
401,277.3,99.7,
501,293.3,109.7,
601,308.5,109.7,
702,324.8,109.7,
802,338.9,109.7,
902,352.6,99.7,
1003,366.8,109.7,
1103,379.2,109.7,
1203,392.0,109.7,
1303,404.4,99.7,
1404,416.5,109.7,
1504,429.3,109.7,
1604,440.6,109.7,
1705,453.0,109.7,
1805,464.3,109.7,
1905,475.9,99.7,
2005,487.3,109.7,
2106,499.7,99.7,
2206,510.2,109.7,
2306,521.6,109.7,
2407,532.7,109.7,
2507,544.2,99.7,
2607,555.5,109.7,
2707,565.8,99.7,
2808,577.4,109.7,
2908,587.5,119.7,
3008,599.1,99.7,
3109,609.4,109.7,
3209,621.8,99.7,
3309,632.4,109.7,
3409,643.2,109.7,
3510,653.8,109.7,
3610,664.6,109.7,
3710,674.9,99.7,
3810,685.7,109.7,
3911,695.8,109.7,
4011,706.4,99.7,
4111,716.2,109.7,
4212,727.0,99.7,
4312,736.8,109.7,
4412,747.1,109.7,
4512,756.9,99.7,
4613,766.9,109.7,
4713,776.2,109.7,
4813,786.5,99.7,
4914,796.3,109.7,
5014,806.9,109.7,
5114,815.2,109.7,
5214,815.4,119.7,
5315,815.4,109.7,
5415,815.4,109.7,
5515,815.4,109.7,
5616,815.4,119.6,
5716,815.4,119.7,
5816,815.4,119.7,
5916,815.4,109.7,
6017,815.4,119.7,
6117,815.4,109.7,
6217,815.4,129.6,
6318,815.7,99.7,
6418,817.7,119.7,
6518,819.9,119.7,
6618,821.7,109.7,
6719,824.3,109.7,
6819,826.6,119.7,
6919,829.7,99.7,
7020,832.0,119.7,
7120,837.0,109.7,
7220,839.0,119.7,
7320,841.3,109.7,
7421,843.7,119.7,
7521,846.8,109.7,
7621,850.1,109.7,
7721,853.2,119.7,
7822,856.3,109.7,
7922,858.6,109.7,
8022,861.5,109.7,
8123,863.0,119.7,
8223,864.0,119.6,
8323,866.9,109.7,
8423,872.8,109.7,
8524,877.2,109.7,
8624,881.3,109.7,
8724,888.0,129.7,
8824,892.7,99.7,
8925,897.8,119.7,
9025,904.3,109.7,
9125,909.7,109.7,
9226,913.8,99.7,
9326,918.4,119.7,
9426,924.9,119.7,
9526,929.8,99.7,
9627,933.1,119.6,
9727,936.7,109.7,
9827,941.1,119.7,
9928,946.3,99.7,
10028,950.4,119.7,
10128,955.3,119.7,
10228,963.3,99.7,tcpreplay finished
10329,970.5,109.6,
10429,978.2,119.7,
10529,983.9,109.7,
10630,991.9,99.7,
10730,998.1,119.7,
10830,1004.8,99.7,
10930,1011.2,109.7,
11031,1017.7,119.7,
11131,1025.9,99.7,
11231,1032.9,109.7,
11332,1038.8,109.6,zeek terminated
