t,Mem,Cpu,Comment
0,225.3,0.0,
100,225.3,0.0,
201,239.8,79.8,
301,258.0,109.7,
401,275.2,109.7,
502,292.5,109.7,
602,308.0,99.7,
702,323.4,109.7,
802,337.9,109.7,
903,352.6,109.7,
1003,366.0,109.7,
1103,378.6,109.7,
1203,392.0,99.7,
1304,404.4,119.7,
1404,416.5,109.7,
1504,428.1,99.7,
1605,441.2,109.7,
1705,452.6,109.7,
1805,465.0,99.7,
1905,476.0,109.7,
2006,488.2,99.7,
2106,499.5,109.7,
2206,510.8,109.7,
2307,522.4,109.7,
2407,533.3,109.7,
2507,545.4,99.7,
2607,556.2,109.7,
2708,567.3,109.7,
2808,578.1,109.7,
2908,589.2,99.7,
3009,600.3,119.7,
3109,611.4,99.7,
3209,623.1,99.7,
3309,634.4,119.7,
3410,645.0,99.7,
3510,656.1,109.7,
3610,666.1,99.7,
3711,677.2,109.7,
3811,687.5,109.7,
3911,698.4,99.7,
4011,708.4,109.7,
4112,719.2,99.7,
4212,729.3,119.7,
4312,739.9,99.7,
4412,749.7,109.7,
4513,760.0,99.7,
4613,769.3,109.7,
4713,779.3,109.7,
4814,789.1,109.7,
4914,799.7,99.7,
5014,809.2,109.7,
5114,819.5,109.7,
5215,820.3,109.7,
5315,820.3,109.7,
5415,820.3,129.6,
5516,820.3,109.7,
5616,820.3,109.7,
5716,820.3,109.7,
5816,820.3,119.7,
5917,820.3,119.7,
6017,820.3,109.7,
6117,820.3,119.7,
6218,820.3,109.7,
6318,820.3,109.7,
6418,821.1,119.7,
6518,823.4,119.7,
6619,824.9,109.7,
6719,827.0,119.7,
6819,829.0,109.7,
6920,831.6,119.7,
7020,833.7,109.7,
7120,838.3,109.7,
7220,839.6,109.7,
7321,841.6,119.6,
7421,843.4,109.7,
7521,845.8,119.7,
7622,848.6,109.7,
7722,851.2,119.6,
7822,853.8,109.7,
7922,856.4,109.7,
8023,858.9,119.7,
8123,861.0,119.7,
8223,862.0,109.7,
8323,864.4,109.7,
8424,869.0,109.7,
8524,874.9,109.7,
8624,878.3,109.7,
8725,882.7,119.7,
8825,889.1,119.7,
8925,894.3,99.7,
9025,898.7,109.7,
9126,904.3,119.6,
9226,908.7,99.7,
9326,913.3,109.7,
9427,918.0,119.7,
9527,923.7,109.7,
9627,927.5,109.7,
9727,930.4,119.6,
9828,934.5,109.7,
9928,940.2,109.7,
10028,944.0,109.7,
10129,948.7,119.7,
10229,956.4,99.7,tcpreplay finished
10329,962.8,109.6,
10430,970.3,119.7,
10530,976.8,109.7,
10630,983.5,109.7,
10730,991.5,109.7,
10831,996.6,109.7,
10931,1004.1,109.7,
11031,1010.0,109.7,
11131,1016.7,109.7,
11232,1024.7,109.7,
11332,1031.9,109.6,zeek terminated
